index,Subj,age,Rating,pos,item,response,trial_type
122,31,6.044444444444444,0,adj,trial_2,1,mixed
123,33,6.002777777777778,0,adj,trial_2,1,mixed
124,35,6.066666666666666,0,adj,trial_2,0,mixed
125,37,6.408333333333333,1,adj,trial_2,1,mixed
126,39,6.111111111111111,1,adj,trial_2,1,mixed
127,41,5.522222222222222,1,adj,trial_2,1,mixed
128,43,6.161111111111111,0,adj,trial_2,0,mixed
129,44,6.358333333333333,1,adj,trial_2,0,mixed
130,46,5.486111111111111,0,adj,trial_2,1,mixed
131,49,6.716666666666667,0,adj,trial_2,1,mixed
132,51,5.636111111111111,1,adj,trial_2,1,mixed
133,53,6.394444444444445,0,adj,trial_2,1,mixed
134,54,6.661111111111111,0,adj,trial_2,0,mixed
135,56,5.794444444444444,0,adj,trial_2,0,mixed
136,59,5.055555555555555,1,adj,trial_2,1,mixed
137,60,6.580555555555556,0,adj,trial_2,0,mixed
138,62,6.025,1,adj,trial_2,1,mixed
139,63,5.538888888888889,1,adj,trial_2,0,mixed
140,66,5.805555555555555,1,adj,trial_2,1,mixed
141,68,6.305555555555555,0,adj,trial_2,1,mixed
142,70,5.655555555555556,0,adj,trial_2,0,mixed
143,72,5.305555555555555,0,adj,trial_2,0,mixed
144,74,5.380555555555556,0,adj,trial_2,0,mixed
145,76,5.408333333333333,0,adj,trial_2,1,mixed
146,77,6.080555555555556,0,adj,trial_2,1,mixed
147,80,5.491666666666666,1,adj,trial_2,1,mixed
148,83,5.6194444444444445,0,adj,trial_2,1,mixed
149,85,6.663888888888889,0,adj,trial_2,0,mixed
150,87,6.986111111111111,1,adj,trial_2,1,mixed
151,88,5.222222222222222,0,adj,trial_2,0,mixed
152,90,5.963888888888889,0,adj,trial_2,1,mixed
153,93,5.508333333333334,1,adj,trial_2,1,mixed
154,95,5.055555555555555,1,adj,trial_2,1,mixed
155,97,6.55,0,adj,trial_2,0,mixed
156,98,6.7,1,adj,trial_2,0,mixed
157,101,5.2444444444444445,1,adj,trial_2,1,mixed
158,102,6.8694444444444445,0,adj,trial_2,1,mixed
159,105,6.805555555555555,0,adj,trial_2,1,mixed
160,107,5.780555555555556,1,adj,trial_2,1,mixed
161,109,6.7444444444444445,0,adj,trial_2,1,mixed
162,110,6.747222222222222,1,adj,trial_2,1,mixed
163,114,5.502777777777778,0,adj,trial_2,0,mixed
164,115,5.230555555555555,0,adj,trial_2,1,mixed
165,116,6.436111111111111,1,adj,trial_2,1,mixed
166,119,6.358333333333333,1,adj,trial_2,1,mixed
167,120,5.927777777777778,0,adj,trial_2,1,mixed
168,122,5.652777777777778,0,adj,trial_2,1,mixed
169,123,5.075,0,adj,trial_2,1,mixed
170,125,6.922222222222223,1,adj,trial_2,1,mixed
171,127,6.997222222222222,0,adj,trial_2,0,mixed
172,4,5.280555556,1,adj,trial_2,1,same
173,6,6.086111111,1,adj,trial_2,1,same
174,8,6.1,0,adj,trial_2,1,same
175,10,6.127777778,0,adj,trial_2,1,same
176,12,6.041666667,0,adj,trial_2,0,same
177,14,6.077777778,1,adj,trial_2,1,same
178,16,5.988888889,1,adj,trial_2,1,same
179,18,6.052777778,1,adj,trial_2,1,same
180,20,6.008333333,0,adj,trial_2,1,same
181,22,5.016666667,0,adj,trial_2,0,same
182,26,5.211111111,1,adj,trial_2,1,same
183,30,6.011111111,1,adj,trial_2,1,same
184,34,6.075,0,adj,trial_2,0,same
185,38,6.530555556,1,adj,trial_2,1,same
186,40,6.111111111,1,adj,trial_2,1,same
187,42,5.963888889,1,adj,trial_2,1,same
188,45,5.486111111,0,adj,trial_2,0,same
189,47,6.688888889,1,adj,trial_2,1,same
190,48,5.755555556,0,adj,trial_2,1,same
191,50,6.386111111,0,adj,trial_2,1,same
192,52,5.986111111,1,adj,trial_2,1,same
193,55,6.755555556,0,adj,trial_2,1,same
194,58,5.063888889,1,adj,trial_2,1,same
195,61,6.361111111,1,adj,trial_2,1,same
196,65,6.730555556,1,adj,trial_2,1,same
197,67,5.888888889,0,adj,trial_2,0,same
198,69,6.888888889,0,adj,trial_2,1,same
199,71,5.305555556,0,adj,trial_2,1,same
200,73,5.227777778,0,adj,trial_2,0,same
201,75,6.597222222,1,adj,trial_2,0,same
202,78,6.444444444,1,adj,trial_2,1,same
203,79,5.983333333,0,adj,trial_2,1,same
204,81,6.722222222,1,adj,trial_2,1,same
205,82,5.619444444,1,adj,trial_2,1,same
206,84,6.85,0,adj,trial_2,1,same
207,86,5.722222222,0,adj,trial_2,0,same
208,89,5.702777778,0,adj,trial_2,1,same
209,91,5.597222222,0,adj,trial_2,1,same
210,92,6.544444444,1,adj,trial_2,1,same
211,94,5.755555556,1,adj,trial_2,1,same
212,96,6.788888889,1,adj,trial_2,1,same
213,99,5.983333333,0,adj,trial_2,1,same
214,100,5.586111111,1,adj,trial_2,1,same
215,103,5.880555556,0,adj,trial_2,0,same
216,104,5.175,1,adj,trial_2,1,same
217,106,6.552777778,0,adj,trial_2,1,same
218,108,6.875,1,adj,trial_2,1,same
219,111,5.108333333,0,adj,trial_2,0,same
220,113,5.502777778,0,adj,trial_2,1,same
221,117,5.744444444,0,adj,trial_2,1,same
222,118,6.213888889,1,adj,trial_2,1,same
223,121,5.927777778,0,adj,trial_2,1,same
224,124,6.5,1,adj,trial_2,1,same
225,126,6.536111111,0,adj,trial_2,1,same
226,3,6.647222222222222,1,adj,trial_3,1,mixed
227,5,5.483333333333333,1,adj,trial_3,1,mixed
228,7,6.188888888888889,0,adj,trial_3,1,mixed
229,11,6.380555555555556,0,adj,trial_3,1,mixed
230,13,6.030555555555556,1,adj,trial_3,1,mixed
231,15,6.080555555555556,1,adj,trial_3,0,mixed
232,17,5.722222222222222,1,adj,trial_3,1,mixed
233,21,6.036111111111111,0,adj,trial_3,0,mixed
234,23,6.188888888888889,0,adj,trial_3,0,mixed
235,31,6.044444444444444,0,adj,trial_3,0,mixed
236,33,6.002777777777778,0,adj,trial_3,1,mixed
237,35,6.066666666666666,0,adj,trial_3,1,mixed
238,37,6.408333333333333,1,adj,trial_3,0,mixed
239,39,6.111111111111111,1,adj,trial_3,0,mixed
240,41,5.522222222222222,1,adj,trial_3,1,mixed
241,43,6.161111111111111,0,adj,trial_3,1,mixed
242,44,6.358333333333333,1,adj,trial_3,1,mixed
243,46,5.486111111111111,0,adj,trial_3,1,mixed
244,49,6.716666666666667,0,adj,trial_3,1,mixed
245,51,5.636111111111111,1,adj,trial_3,0,mixed
246,53,6.394444444444445,0,adj,trial_3,1,mixed
247,54,6.661111111111111,0,adj,trial_3,1,mixed
248,56,5.794444444444444,0,adj,trial_3,0,mixed
249,59,5.055555555555555,1,adj,trial_3,0,mixed
250,60,6.580555555555556,0,adj,trial_3,1,mixed
251,62,6.025,1,adj,trial_3,1,mixed
252,63,5.538888888888889,1,adj,trial_3,1,mixed
253,66,5.805555555555555,1,adj,trial_3,1,mixed
254,68,6.305555555555555,0,adj,trial_3,1,mixed
255,70,5.655555555555556,0,adj,trial_3,1,mixed
256,72,5.305555555555555,0,adj,trial_3,1,mixed
257,74,5.380555555555556,0,adj,trial_3,0,mixed
258,76,5.408333333333333,0,adj,trial_3,1,mixed
259,77,6.080555555555556,0,adj,trial_3,1,mixed
260,80,5.491666666666666,1,adj,trial_3,1,mixed
261,83,5.6194444444444445,0,adj,trial_3,1,mixed
262,85,6.663888888888889,0,adj,trial_3,0,mixed
263,87,6.986111111111111,1,adj,trial_3,1,mixed
264,88,5.222222222222222,0,adj,trial_3,0,mixed
265,90,5.963888888888889,0,adj,trial_3,1,mixed
266,93,5.508333333333334,1,adj,trial_3,1,mixed
267,95,5.055555555555555,1,adj,trial_3,1,mixed
268,97,6.55,0,adj,trial_3,0,mixed
269,98,6.7,1,adj,trial_3,0,mixed
270,101,5.2444444444444445,1,adj,trial_3,1,mixed
271,102,6.8694444444444445,0,adj,trial_3,1,mixed
272,105,6.805555555555555,0,adj,trial_3,0,mixed
273,107,5.780555555555556,1,adj,trial_3,1,mixed
274,109,6.7444444444444445,0,adj,trial_3,1,mixed
275,110,6.747222222222222,1,adj,trial_3,1,mixed
276,114,5.502777777777778,0,adj,trial_3,1,mixed
277,115,5.230555555555555,0,adj,trial_3,1,mixed
278,116,6.436111111111111,1,adj,trial_3,0,mixed
279,119,6.358333333333333,1,adj,trial_3,1,mixed
280,120,5.927777777777778,0,adj,trial_3,0,mixed
281,122,5.652777777777778,0,adj,trial_3,1,mixed
282,123,5.075,0,adj,trial_3,0,mixed
283,125,6.922222222222223,1,adj,trial_3,1,mixed
284,127,6.997222222222222,0,adj,trial_3,0,mixed
285,4,5.280555556,1,adj,trial_3,1,same
286,6,6.086111111,1,adj,trial_3,1,same
287,8,6.1,0,adj,trial_3,0,same
288,10,6.127777778,0,adj,trial_3,0,same
289,12,6.041666667,0,adj,trial_3,0,same
290,14,6.077777778,1,adj,trial_3,0,same
291,16,5.988888889,1,adj,trial_3,1,same
292,18,6.052777778,1,adj,trial_3,1,same
293,20,6.008333333,0,adj,trial_3,0,same
294,22,5.016666667,0,adj,trial_3,1,same
295,26,5.211111111,1,adj,trial_3,1,same
296,30,6.011111111,1,adj,trial_3,1,same
297,34,6.075,0,adj,trial_3,0,same
298,38,6.530555556,1,adj,trial_3,1,same
299,40,6.111111111,1,adj,trial_3,1,same
300,42,5.963888889,1,adj,trial_3,0,same
301,45,5.486111111,0,adj,trial_3,0,same
302,47,6.688888889,1,adj,trial_3,1,same
303,48,5.755555556,0,adj,trial_3,1,same
304,50,6.386111111,0,adj,trial_3,0,same
305,52,5.986111111,1,adj,trial_3,1,same
306,55,6.755555556,0,adj,trial_3,1,same
307,58,5.063888889,1,adj,trial_3,0,same
308,61,6.361111111,1,adj,trial_3,1,same
309,65,6.730555556,1,adj,trial_3,1,same
310,67,5.888888889,0,adj,trial_3,0,same
311,69,6.888888889,0,adj,trial_3,1,same
312,71,5.305555556,0,adj,trial_3,1,same
313,73,5.227777778,0,adj,trial_3,0,same
314,75,6.597222222,1,adj,trial_3,1,same
315,78,6.444444444,1,adj,trial_3,1,same
316,79,5.983333333,0,adj,trial_3,1,same
317,81,6.722222222,1,adj,trial_3,1,same
318,82,5.619444444,1,adj,trial_3,1,same
319,84,6.85,0,adj,trial_3,1,same
320,86,5.722222222,0,adj,trial_3,0,same
321,89,5.702777778,0,adj,trial_3,1,same
322,91,5.597222222,0,adj,trial_3,1,same
323,92,6.544444444,1,adj,trial_3,1,same
324,94,5.755555556,1,adj,trial_3,1,same
325,96,6.788888889,1,adj,trial_3,0,same
326,99,5.983333333,0,adj,trial_3,1,same
327,100,5.586111111,1,adj,trial_3,1,same
328,103,5.880555556,0,adj,trial_3,1,same
329,104,5.175,1,adj,trial_3,1,same
330,106,6.552777778,0,adj,trial_3,1,same
331,108,6.875,1,adj,trial_3,1,same
332,111,5.108333333,0,adj,trial_3,1,same
333,113,5.502777778,0,adj,trial_3,1,same
334,117,5.744444444,0,adj,trial_3,1,same
335,118,6.213888889,1,adj,trial_3,1,same
336,121,5.927777778,0,adj,trial_3,0,same
337,124,6.5,1,adj,trial_3,1,same
338,126,6.536111111,0,adj,trial_3,1,same
339,3,6.647222222222222,1,adj,trial_4,1,same
340,5,5.483333333333333,1,adj,trial_4,1,same
341,7,6.188888888888889,0,adj,trial_4,1,same
342,11,6.380555555555556,0,adj,trial_4,1,same
343,13,6.030555555555556,1,adj,trial_4,0,same
344,15,6.080555555555556,1,adj,trial_4,1,same
345,17,5.722222222222222,1,adj,trial_4,1,same
346,21,6.036111111111111,0,adj,trial_4,1,same
347,23,6.188888888888889,0,adj,trial_4,1,same
348,31,6.044444444444444,0,adj,trial_4,0,same
349,33,6.002777777777778,0,adj,trial_4,1,same
350,35,6.066666666666666,0,adj,trial_4,1,same
351,37,6.408333333333333,1,adj,trial_4,1,same
352,39,6.111111111111111,1,adj,trial_4,1,same
353,41,5.522222222222222,1,adj,trial_4,1,same
354,43,6.161111111111111,0,adj,trial_4,0,same
355,44,6.358333333333333,1,adj,trial_4,1,same
356,46,5.486111111111111,0,adj,trial_4,0,same
357,49,6.716666666666667,0,adj,trial_4,1,same
358,51,5.636111111111111,1,adj,trial_4,1,same
359,53,6.394444444444445,0,adj,trial_4,1,same
360,54,6.661111111111111,0,adj,trial_4,1,same
361,56,5.794444444444444,0,adj,trial_4,1,same
362,59,5.055555555555555,1,adj,trial_4,1,same
363,60,6.580555555555556,0,adj,trial_4,1,same
364,62,6.025,1,adj,trial_4,1,same
365,63,5.538888888888889,1,adj,trial_4,0,same
366,66,5.805555555555555,1,adj,trial_4,1,same
367,68,6.305555555555555,0,adj,trial_4,1,same
368,70,5.655555555555556,0,adj,trial_4,1,same
369,72,5.305555555555555,0,adj,trial_4,1,same
370,74,5.380555555555556,0,adj,trial_4,1,same
371,76,5.408333333333333,0,adj,trial_4,1,same
372,77,6.080555555555556,0,adj,trial_4,1,same
373,80,5.491666666666666,1,adj,trial_4,1,same
374,83,5.6194444444444445,0,adj,trial_4,1,same
375,85,6.663888888888889,0,adj,trial_4,1,same
376,87,6.986111111111111,1,adj,trial_4,1,same
377,88,5.222222222222222,0,adj,trial_4,0,same
378,90,5.963888888888889,0,adj,trial_4,1,same
379,93,5.508333333333334,1,adj,trial_4,1,same
380,95,5.055555555555555,1,adj,trial_4,1,same
381,97,6.55,0,adj,trial_4,0,same
382,98,6.7,1,adj,trial_4,1,same
383,101,5.2444444444444445,1,adj,trial_4,1,same
384,102,6.8694444444444445,0,adj,trial_4,1,same
385,105,6.805555555555555,0,adj,trial_4,1,same
386,107,5.780555555555556,1,adj,trial_4,1,same
387,109,6.7444444444444445,0,adj,trial_4,1,same
388,110,6.747222222222222,1,adj,trial_4,1,same
389,114,5.502777777777778,0,adj,trial_4,1,same
390,115,5.230555555555555,0,adj,trial_4,1,same
391,116,6.436111111111111,1,adj,trial_4,1,same
392,119,6.358333333333333,1,adj,trial_4,1,same
393,120,5.927777777777778,0,adj,trial_4,1,same
394,122,5.652777777777778,0,adj,trial_4,1,same
395,123,5.075,0,adj,trial_4,1,same
396,125,6.922222222222223,1,adj,trial_4,1,same
397,127,6.997222222222222,0,adj,trial_4,1,same
398,4,5.280555556,1,adj,trial_4,0,mixed
399,6,6.086111111,1,adj,trial_4,0,mixed
400,8,6.1,0,adj,trial_4,1,mixed
401,10,6.127777778,0,adj,trial_4,1,mixed
402,12,6.041666667,0,adj,trial_4,0,mixed
403,14,6.077777778,1,adj,trial_4,1,mixed
404,16,5.988888889,1,adj,trial_4,1,mixed
405,18,6.052777778,1,adj,trial_4,1,mixed
406,20,6.008333333,0,adj,trial_4,1,mixed
407,22,5.016666667,0,adj,trial_4,1,mixed
408,26,5.211111111,1,adj,trial_4,1,mixed
409,30,6.011111111,1,adj,trial_4,1,mixed
410,34,6.075,0,adj,trial_4,0,mixed
411,38,6.530555556,1,adj,trial_4,1,mixed
412,40,6.111111111,1,adj,trial_4,1,mixed
413,42,5.963888889,1,adj,trial_4,1,mixed
414,45,5.486111111,0,adj,trial_4,1,mixed
415,47,6.688888889,1,adj,trial_4,1,mixed
416,48,5.755555556,0,adj,trial_4,1,mixed
417,50,6.386111111,0,adj,trial_4,1,mixed
418,52,5.986111111,1,adj,trial_4,1,mixed
419,55,6.755555556,0,adj,trial_4,1,mixed
420,58,5.063888889,1,adj,trial_4,0,mixed
421,61,6.361111111,1,adj,trial_4,1,mixed
422,65,6.730555556,1,adj,trial_4,1,mixed
423,67,5.888888889,0,adj,trial_4,1,mixed
424,69,6.888888889,0,adj,trial_4,1,mixed
425,71,5.305555556,0,adj,trial_4,1,mixed
426,73,5.227777778,0,adj,trial_4,0,mixed
427,75,6.597222222,1,adj,trial_4,0,mixed
428,78,6.444444444,1,adj,trial_4,1,mixed
429,79,5.983333333,0,adj,trial_4,1,mixed
430,81,6.722222222,1,adj,trial_4,1,mixed
431,82,5.619444444,1,adj,trial_4,1,mixed
432,84,6.85,0,adj,trial_4,1,mixed
433,86,5.722222222,0,adj,trial_4,1,mixed
434,89,5.702777778,0,adj,trial_4,1,mixed
435,91,5.597222222,0,adj,trial_4,1,mixed
436,92,6.544444444,1,adj,trial_4,1,mixed
437,94,5.755555556,1,adj,trial_4,1,mixed
438,96,6.788888889,1,adj,trial_4,1,mixed
439,99,5.983333333,0,adj,trial_4,1,mixed
440,100,5.586111111,1,adj,trial_4,1,mixed
441,103,5.880555556,0,adj,trial_4,1,mixed
442,104,5.175,1,adj,trial_4,1,mixed
443,106,6.552777778,0,adj,trial_4,1,mixed
444,108,6.875,1,adj,trial_4,1,mixed
445,111,5.108333333,0,adj,trial_4,0,mixed
446,113,5.502777778,0,adj,trial_4,1,mixed
447,117,5.744444444,0,adj,trial_4,1,mixed
448,118,6.213888889,1,adj,trial_4,1,mixed
449,121,5.927777778,0,adj,trial_4,0,mixed
450,124,6.5,1,adj,trial_4,1,mixed
451,126,6.536111111,0,adj,trial_4,1,mixed
452,3,6.647222222222222,1,adj,trial_5,1,same
453,5,5.483333333333333,1,adj,trial_5,1,same
454,7,6.188888888888889,0,adj,trial_5,1,same
455,11,6.380555555555556,0,adj,trial_5,1,same
456,13,6.030555555555556,1,adj,trial_5,0,same
457,15,6.080555555555556,1,adj,trial_5,1,same
458,17,5.722222222222222,1,adj,trial_5,1,same
459,21,6.036111111111111,0,adj,trial_5,1,same
460,23,6.188888888888889,0,adj,trial_5,1,same
461,31,6.044444444444444,0,adj,trial_5,0,same
462,33,6.002777777777778,0,adj,trial_5,1,same
463,35,6.066666666666666,0,adj,trial_5,1,same
464,37,6.408333333333333,1,adj,trial_5,0,same
465,39,6.111111111111111,1,adj,trial_5,1,same
466,41,5.522222222222222,1,adj,trial_5,1,same
467,43,6.161111111111111,0,adj,trial_5,1,same
468,44,6.358333333333333,1,adj,trial_5,1,same
469,46,5.486111111111111,0,adj,trial_5,1,same
470,49,6.716666666666667,0,adj,trial_5,1,same
471,51,5.636111111111111,1,adj,trial_5,1,same
472,53,6.394444444444445,0,adj,trial_5,1,same
473,54,6.661111111111111,0,adj,trial_5,1,same
474,56,5.794444444444444,0,adj,trial_5,0,same
475,59,5.055555555555555,1,adj,trial_5,0,same
476,60,6.580555555555556,0,adj,trial_5,1,same
477,62,6.025,1,adj,trial_5,1,same
478,63,5.538888888888889,1,adj,trial_5,0,same
479,66,5.805555555555555,1,adj,trial_5,1,same
480,68,6.305555555555555,0,adj,trial_5,1,same
481,70,5.655555555555556,0,adj,trial_5,0,same
482,72,5.305555555555555,0,adj,trial_5,1,same
483,74,5.380555555555556,0,adj,trial_5,1,same
484,76,5.408333333333333,0,adj,trial_5,1,same
485,77,6.080555555555556,0,adj,trial_5,1,same
486,80,5.491666666666666,1,adj,trial_5,1,same
487,83,5.6194444444444445,0,adj,trial_5,1,same
488,85,6.663888888888889,0,adj,trial_5,0,same
489,87,6.986111111111111,1,adj,trial_5,1,same
490,88,5.222222222222222,0,adj,trial_5,0,same
491,90,5.963888888888889,0,adj,trial_5,1,same
492,93,5.508333333333334,1,adj,trial_5,1,same
493,95,5.055555555555555,1,adj,trial_5,1,same
494,97,6.55,0,adj,trial_5,1,same
495,98,6.7,1,adj,trial_5,1,same
496,101,5.2444444444444445,1,adj,trial_5,1,same
497,102,6.8694444444444445,0,adj,trial_5,1,same
498,105,6.805555555555555,0,adj,trial_5,1,same
499,107,5.780555555555556,1,adj,trial_5,1,same
500,109,6.7444444444444445,0,adj,trial_5,1,same
501,110,6.747222222222222,1,adj,trial_5,1,same
502,114,5.502777777777778,0,adj,trial_5,0,same
503,115,5.230555555555555,0,adj,trial_5,1,same
504,116,6.436111111111111,1,adj,trial_5,0,same
505,119,6.358333333333333,1,adj,trial_5,1,same
506,120,5.927777777777778,0,adj,trial_5,1,same
507,122,5.652777777777778,0,adj,trial_5,1,same
508,123,5.075,0,adj,trial_5,1,same
509,125,6.922222222222223,1,adj,trial_5,1,same
510,127,6.997222222222222,0,adj,trial_5,0,same
511,4,5.280555556,1,adj,trial_5,1,mixed
512,6,6.086111111,1,adj,trial_5,1,mixed
513,8,6.1,0,adj,trial_5,1,mixed
514,10,6.127777778,0,adj,trial_5,1,mixed
515,12,6.041666667,0,adj,trial_5,1,mixed
516,14,6.077777778,1,adj,trial_5,1,mixed
517,16,5.988888889,1,adj,trial_5,1,mixed
518,18,6.052777778,1,adj,trial_5,1,mixed
519,20,6.008333333,0,adj,trial_5,0,mixed
520,22,5.016666667,0,adj,trial_5,1,mixed
521,26,5.211111111,1,adj,trial_5,1,mixed
522,30,6.011111111,1,adj,trial_5,1,mixed
523,34,6.075,0,adj,trial_5,1,mixed
524,38,6.530555556,1,adj,trial_5,1,mixed
525,40,6.111111111,1,adj,trial_5,1,mixed
526,42,5.963888889,1,adj,trial_5,1,mixed
527,45,5.486111111,0,adj,trial_5,0,mixed
528,47,6.688888889,1,adj,trial_5,1,mixed
529,48,5.755555556,0,adj,trial_5,1,mixed
530,50,6.386111111,0,adj,trial_5,1,mixed
531,52,5.986111111,1,adj,trial_5,1,mixed
532,55,6.755555556,0,adj,trial_5,1,mixed
533,58,5.063888889,1,adj,trial_5,1,mixed
534,61,6.361111111,1,adj,trial_5,1,mixed
535,65,6.730555556,1,adj,trial_5,1,mixed
536,67,5.888888889,0,adj,trial_5,1,mixed
537,69,6.888888889,0,adj,trial_5,1,mixed
538,71,5.305555556,0,adj,trial_5,1,mixed
539,73,5.227777778,0,adj,trial_5,1,mixed
